exam_id,url,title,question_id
28,https://www.examtopics.com/discussions/amazon/view/153515-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 113 discussion,113
17,https://www.examtopics.com/discussions/amazon/view/156318-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 114 discussion,114
27,https://www.examtopics.com/discussions/amazon/view/153554-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 115 discussion,115
27,https://www.examtopics.com/discussions/amazon/view/153555-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 116 discussion,116
27,https://www.examtopics.com/discussions/amazon/view/153516-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 117 discussion,117
27,https://www.examtopics.com/discussions/amazon/view/153556-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 118 discussion,118
27,https://www.examtopics.com/discussions/amazon/view/153557-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 119 discussion,119
27,https://www.examtopics.com/discussions/amazon/view/153517-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 120 discussion,120
27,https://www.examtopics.com/discussions/amazon/view/153558-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 121 discussion,121
27,https://www.examtopics.com/discussions/amazon/view/153559-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 122 discussion,122
27,https://www.examtopics.com/discussions/amazon/view/153518-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 123 discussion,123
27,https://www.examtopics.com/discussions/amazon/view/153560-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 124 discussion,124
21,https://www.examtopics.com/discussions/amazon/view/156319-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 125 discussion,125
27,https://www.examtopics.com/discussions/amazon/view/153592-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 126 discussion,126
27,https://www.examtopics.com/discussions/amazon/view/155863-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 127 discussion,127
27,https://www.examtopics.com/discussions/amazon/view/155864-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 128 discussion,128
27,https://www.examtopics.com/discussions/amazon/view/155866-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 129 discussion,129
18,https://www.examtopics.com/discussions/amazon/view/155868-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 130 discussion,130
27,https://www.examtopics.com/discussions/amazon/view/155869-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 131 discussion,131
18,https://www.examtopics.com/discussions/amazon/view/155870-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 132 discussion,132
17,https://www.examtopics.com/discussions/amazon/view/155871-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 133 discussion,133
13,https://www.examtopics.com/discussions/amazon/view/155867-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 134 discussion,134
27,https://www.examtopics.com/discussions/amazon/view/155872-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 135 discussion,135
13,https://www.examtopics.com/discussions/amazon/view/155873-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 136 discussion,136
22,https://www.examtopics.com/discussions/amazon/view/155936-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 137 discussion,137
13,https://www.examtopics.com/discussions/amazon/view/155916-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 138 discussion,138
12,https://www.examtopics.com/discussions/amazon/view/155917-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 139 discussion,139
17,https://www.examtopics.com/discussions/amazon/view/155918-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 140 discussion,140
27,https://www.examtopics.com/discussions/amazon/view/155919-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 141 discussion,141
22,https://www.examtopics.com/discussions/amazon/view/155920-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 142 discussion,142
20,https://www.examtopics.com/discussions/amazon/view/156390-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 143 discussion,143
